city;coordinateNumber;nameImpurity;1May;2May;3May;4May;6May;7May;8May;9May;10May;11May;13May;14May;15May;16May;17May;18May;20May;21May;22May;23May;24May;25May;27May;28May;29May;30May;31May
Кам'янське;4853460;Оксид азоту;0,0535;0,048225;0,061325;0,05965;0,0946;0,06495;0,056125;0,058725;0,05315;0,0573;0,054;0,0641;0,0613;0,04725;0,050325;0,054825;0,085366667;0,053375;0,051725;0,064325;0,054925;0,0462;0,0641;0,067175;0,05885;0,048875;0,05875
Кам'янське;4853460;Сiрководень;0,004466667;0,004226667;0,005046667;0,005373333;0,005754545;0,005473333;0,004226667;0,00398;0,004333333;0,004873333;0,004263636;0,00354;0,003666667;0,003646667;0,00362;0,00416;0,004890909;0,004266667;0,00524;0,00488;0,003933333;0,003926667;0,003872727;0,003613333;0,003453333;0,003493333;0,004113333
Кам'янське;4853460;Фенол;0,00586875;0,00506875;0,006925;0,00755;0,005541667;0,00475625;0,0044375;0,0046;0,00503125;0,00529375;0,00465;0,00684375;0,005725;0,006825;0,00701875;0,00456875;0,005716667;0,0046125;0,00606875;0,0049;0,0051;0,00495;0,004458333;0,00490625;0,00354375;0,004025;0,0048125
Кам'янське;4853460;Амiак;0,0487375;0,0477;0,0502375;0,0494875;0,0499125;0,0473;0,0498375;0,0503625;0,053575;0,047075;0,0441875;0,0455375;0,0417875;0,0519375;0,04575;0,0442375;0,0432;0,0450625;0,0498375;0,0524875;0,04685;0,0476625;0,0479125;0,0464;0,0475125;0,040775;0,0501
Кам'янське;4853460;Формальдегiд;0,0135625;0,0173;0,0137875;0,0133875;0,018925;0,0164125;0,0148375;0,0161125;0,01765;0,013475;0,0115875;0,011375;0,0112;0,0128;0,0122125;0,0163375;0,01625;0,014425;0,0195375;0,017725;0,0207125;0,01905;0,017975;0,01775;0,0190375;0,0173;0,0161375
Краматорськ;4873760;Завислі речовини;0,125;0,0875;0,1375;0,125;0,1;0,125;0,1;0,0875;0,1125;0,15;0,1875;0,125;0,1375;0,1625;0,2625;0,1625;0,0875;0,125;0,125;0,2;0,15;0,15;0,1375;0,2;0,2;0,1875;0,1125
Краматорськ;4873760;Дiоксид сiрки;0,0015625;0,0029125;0,0033;0,0024125;0,0023;0,00265;0,0025125;0,0025;0,0035375;0,0040125;0,002375;0,0019125;0,0017625;0,001475;0,002075;0,002175;0,00215;0,0035125;0,002925;0,0034125;0,0026125;0,0029;0,0015875;0,0029625;0,0033875;0,0036;0,0027125
Краматорськ;4873760;Оксид вуглецю;1,25;2,375;2,125;1,625;2,125;1,875;2;2;1,625;1,625;1,5;1,125;1,75;1,875;1,75;4,375;1,625;1,375;1,375;1,625;3,25;2,125;1,375;2;1,25;1,5;2,625
Краматорськ;4873760;Дiоксид азоту;0,0256875;0,0596;0,078075;0,1206;0,086075;0,0716375;0,06185;0,053175;0,0684625;0,0766625;0,0733375;0,0472625;0,0241125;0,0441375;0,035325;0,0382;0,032075;0,1182625;0,0699;0,11605;0,130725;0,10905;0,10245;0,0691;0,089775;0,027525;0,09675
Краматорськ;4873760;Фенол;0,0032;0,002175;0,0025625;0,0021875;0,008875;0,0065375;0,0036;0,0036625;0,0037375;0,0053;0,0025125;0,0024375;0,003675;0,00315;0,0030625;0,0103125;0,0012;0,00225;0,0016125;0,0023;0,0038875;0,00425;0,003075;0,0049875;0,002925;0,0050875;0,0025
